dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status
Mammography,Baseline RF,0.5,0.7677049834510927,0.8076923076923077,0.5384615384615384,0.6461538461538462,0.7326789095811095,0.6531546377040259,0.9666322386798433,0.7507972895190512,0.9862891207153502,3267,10,36,42,ok
Mammography,RF (balanced_subsample),0.5,0.7229857671572655,0.7954545454545454,0.44871794871794873,0.5737704918032787,0.668943632364131,0.5907268793663029,0.9549873633639274,0.7247836714347933,0.9845007451564829,3268,9,43,35,ok
Mammography,Class weight LogisticRegression,0.5,0.8934825473580432,0.17737789203084833,0.8846153846153846,0.2955032119914347,0.8934385462125043,0.37040822181099603,0.9498505512390163,0.5549066122462767,0.9019374068554397,2957,320,9,69,ok
Mammography,Custom weighted log-loss LR,0.5,0.796552115365054,0.6025641025641025,0.6025641025641025,0.6025641025641025,0.7725696883660917,0.5931042307301081,0.9618260134738621,0.6485062582694938,0.9815201192250372,3246,31,31,47,ok
Mammography,Random Oversampling + RF,0.5,0.7931934305141507,0.8070175438596491,0.5897435897435898,0.6814814814814815,0.766657668390032,0.6837652085764822,0.9751903319953366,0.7550377730355553,0.9871833084947839,3266,11,32,46,ok
Mammography,Random Undersampling + RF,0.5,0.9119523798345892,0.16590909090909092,0.9358974358974359,0.28185328185328185,0.911637963983575,0.3678043963319613,0.9559517382221074,0.5627024428052765,0.8891207153502235,2910,367,5,73,ok
Mammography,SMOTE + RF,0.5,0.8569908374607795,0.8115942028985508,0.717948717948718,0.7619047619047619,0.8456362010305151,0.7580786443728403,0.9658673896543899,0.7593676103385134,0.9895678092399404,3264,13,22,56,ok
Mammography,Borderline-SMOTE + RF,0.5,0.8820215487899346,0.7792207792207793,0.7692307692307693,0.7741935483870968,0.874780116701466,0.7688711076626706,0.9777528696509471,0.751334995122386,0.9895678092399404,3260,17,18,60,ok
Mammography,ADASYN + RF,0.5,0.8688958788134864,0.7532467532467533,0.7435897435897436,0.7483870967741936,0.8598130149598515,0.7424538847453434,0.9568046133502344,0.7643401737280038,0.9883755588673622,3258,19,20,58,ok
Mammography,SMOTE-Tomek + RF,0.5,0.8629433581371329,0.7808219178082192,0.7307692307692307,0.7549668874172185,0.8527609509162141,0.7497623920646714,0.974902780059936,0.7797090406828402,0.9889716840536512,3261,16,21,57,ok
Mammography,SMOTE-ENN + RF,0.5,0.8745432423339046,0.7108433734939759,0.7564102564102564,0.7329192546583851,0.8665278301062589,0.7267278266094555,0.9613174182139699,0.7320250906953383,0.9871833084947839,3253,24,19,59,ok
Mammography,Balanced Bagging,0.5,0.9308682112313482,0.30869565217391304,0.9102564102564102,0.461038961038961,0.9306399842805054,0.5138910364540525,0.9664248883046564,0.6624524453249072,0.950521609538003,3118,159,7,71,ok
Mammography,Balanced Random Forest,0.5,0.9363629961737987,0.3037974683544304,0.9230769230769231,0.45714285714285713,0.9362687332519644,0.5132762913777693,0.967293412517703,0.6769206644487665,0.9490312965722801,3112,165,6,72,ok
Mammography,EasyEnsemble,0.5,0.8995896027479793,0.1632183908045977,0.9102564102564102,0.27680311890838205,0.8995263601417388,0.35850370057284875,0.9510066273874636,0.6619706710734444,0.8894187779433681,2913,364,7,71,ok
Mammography,RUSBoost,0.5,0.82022135630619,0.16147308781869688,0.7307692307692307,0.26450116009280744,0.8153290075654649,0.3145379947315022,0.9054971323051884,0.290781054454935,0.9055141579731744,2981,296,21,57,ok
